,HoldingCompanyName,HocoNum
197,James Valley Cooperative Telephone Company,130673
198,City of Thomasville Utilities,130281
199,"Yankee Telecom, Inc.",131517
200,"OTZ Telephone Cooperative, Inc.",190281
201,Harron Communications LP,130591
202,"Van Buren Telephone Co., Inc.",131414
203,Lonsdale Telephone Company,140059
204,Electric and Water Plant Board of the City of Frankfort,130445
205,"Northern Telephone Cooperative, Inc.",130945
206,Bridger Valley Electric,300182
207,Peace Valley Telephone Company,131019
208,"Carr Communications, Inc.",130203
209,Superior Telephone Cooperative,131276
210,Miles Cooperative Telephone Assoc.,130837
211,Ringsted Telephone Company,131114
212,Dunkerton Telephone Cooperative,130421
213,Dixon Telephone Company,130410
214,Trenton TV Cable Company,240094
215,Nelson Telephone Cooperative,130889
216,Northern Telephone Company/Wilderness Valley Telephone Company,130944
217,Northern Telephone and Data Corp.,130943
218,Reedsburg Utility Commission,131100
219,"Siren Telephone Company, Inc.",131194
220,Spring Grove Communications,131240
221,"Spring Valley Telephone Company, Inc.",131241
222,"Tech-Com, Inc.",131299
223,"Tri-County Communications Cooperative, Inc.",131368
224,Woodstock Telephone Company,131506
225,Wyoming Mutual Telephone Company,131510
226,"CresComm WiFi, LLC",150245
227,Hinson Communications Inc.,250046
228,American Broadband Communications et al.,131226
229,"Lintel, Inc.",130746
230,Guiness Communications Inc.,280028
231,La Porte City Telephone Company,170062
232,Iron River TV,310045
233,"Absaraka Cooperative Telephone Co., Inc.",130005
234,Harlan Community Television Inc.,190182
235,"Mid-States Services, LLC",130829
236,DTR Holdings LLC,131432
237,"All West Communications, Inc.",130037
238,Great Lakes Communication Corp.,130567
239,Helix Telephone Company,130601
240,The Arthur Mutual Telephone Company,130073
241,Calaveras Communications Company,130189
242,LTD Broadband LLC,240056
243,Grundy Center Municipal Light & Power,190180
244,"Peoples Telecommunications, LLC",131030
245,Adams Telephone Co-Operative,130012
246,"Telephone and Data Systems, Inc.",131310
247,"Central Arkansas Telephone Cooperative, Inc.",130224
248,"Pineland Telephone Cooperative, Inc.",131041
249,Millry Corporation,130844
250,"Full Channel, Inc.",130520
251,"Golden West Telecommunications Cooperative, Inc.",130550
252,South Central Rural Telephone Cooperative Corporation,131216
253,"Germantown Telephone Company, Inc.",130538
254,Community Internet Service (IA),130325
255,Sand Creek Communications Company,131157
256,Jefferson Telephone Company,130677
257,"Brantley Telephone Company, Inc.",130151
258,Citizens Telephone Company of Kecksburg,130264
259,The Conneaut Telephone Company,131332
260,"Christian Hill Farm, LLC",190079
261,The Champlain Telephone Company,131330
262,Basin Broadband,250018
263,Plainview Telephone Co. Inc.,131050
264,"Communications 1 Network, Inc.",130321
265,"LaValle Telephone Cooperative, Inc.",130726
266,"Blueriver Communications, Inc.",190056
267,Ansteorria Inc.,130061
268,Harlan Municipal Utilities,170050
269,Schaller Telephone Company,131166
270,"Nichewares & Consulting, LLC",290072
271,County of Lake,300040
272,"La Ward Telephone Exchange, Inc.",130710
273,"South Plains Telephone Cooperative, Inc.",131221
274,Databit,300045
275,"Valley Telephone Cooperative, Inc.",131411
276,"Wired or Wireless, Inc.",131497
277,"Clear Rate Communications, Inc.",130292
278,North Dakota Telephone Company,130885
279,"ENMR Telephone Cooperative, Inc.",130458
280,"Kalida Telephone Company, Inc.",130681
281,Van Horne Cooperative Telephone Company,131415
282,NITCO Holding Corporation,130921
283,Duo County Telephone Cooperative Inc.,130423
284,BW Telcom,130114
285,Palo Cooperative Telephone Association,131006
286,Pine Belt Communications Co. Inc.,131038
287,Lone Rock Cooperative Telephone Company,130756
288,"Cibola, LLC",290025
289,"Amplex Electric, Inc.",130059
290,"LiteWire Internet Services, Inc.",130749
291,"Sacred Wind Communications, Inc.",150313
292,Parish Communications,190285
293,The Utilities Board of the City of Sylacauga,190367
294,Dunnell Telephone Company,130956
295,Swayzee Telephone Company,131285
296,Henderson Cooperative Telephone Company,130603
297,Crosslake Telephone Company,130367
298,Utah Telecommunication Open Infrastructure Agency,230051
299,"Massillon Cable TV, Inc.",130788
300,Corn Belt Telephone Company,130353
301,Southwest Minnesota Broadband Services,300149
302,Bloosurf LLC,290018
303,Murray Electric System,240063
304,"Pinpoint Holdings, Inc.",131043
305,The Middleburgh Telephone Company,131339
306,"Block Communications, Inc.",130137
307,Coaxial Cable TV Corporation,190094
308,"HydroSoft Internet, Inc.",290003
309,Barbourville Utility Commission,190429
310,"Venture Communications Cooperative, Inc./Western Telephone Company",131422
311,"Citizens Telephone Cooperative, Inc. (WI)",130267
312,Three River Telco,131349
313,Pattersonville Telephone Company (OH),150119
314,"Home Enterprises, Inc.",130616
315,Telephone Electronics Corporation,131311
316,"Blossom Telephone Co., Inc.",130141
317,EagleMax Broadband LLC,230013
318,Butler-Bremer Mutual Telephone Company,130179
319,Selectronics Corporation,131175
320,"Lazernet, Inc.",200026
321,Robinson Communications Corporation,131123
322,Haefele TV Inc.,190181
323,Satellite Operations Inc.,250069
324,Verizon Communications Inc.,131425
325,"CoastCom, Inc.",150241
326,Manning Municipal Communications and Television Systems Utility,160129
327,Colo Telephone Company,130310
328,"Sweetser Rural Telephone Company, Inc.",131286
329,"Bee Line, Inc.",190047
330,East Buchanan Telephone Cooperative,130433
331,Cooperative Telephone Exchange,130347
332,"FireServe, LLC",240036
333,"Coleman County Telephone Cooperative, Inc.",130307
334,"Arctic Slope Telephone Association Cooperative, Inc.",130067
335,City of San Bruno,130278
336,Reach Broadband,190312
337,"Comporium, Inc.",131125
338,Hinton Holding Company,130614
339,Glenwood Telephone Membership Corporation,130546
340,GEUS,130540
341,Danville Mutual Telephone Company (iconnectyou),130390
342,Cooperative Light & Power,270028
343,Monitor Cooperative Telephone Company,130852
344,Monon Telephone Company Inc.,130853
345,Rock Port Telephone Company,131126
346,Accelplus,170007
347,"Ropir Industries, Inc.",131132
348,"Cunningham Management, Inc.",131900
349,North-State Telephone Co. (NC),130949
350,Lake Livingston Telephone Company,130712
351,Grauer Management Inc.,130565
352,"Kuhn Communications, Inc.",190218
353,Sully Telephone Association,131613
354,SPITwSPOTS Inc.,140084
355,Panora Communications Cooperative,131008
356,"Mid-Plains Rural Telephone Cooperative, Inc.",130825
357,Partner Communications Cooperative,131010
358,Wellman Cooperative Telephone Association,131458
359,Southern Vermont Cable Company,190337
360,Palmer Mutual Telephone Company,131003
361,Ultimate Broadband,250004
362,"Ag Prospects, LLC",250007
363,Sebewaing Light and Water,310062
364,Northeast Iowa Telephone Company,130938
365,"Sherwood Mutual Telephone Association, Inc.",131183
366,Union Telephone Company,131389
367,"Riviera Telephone Company, Inc.",131117
368,"Alpine Communications, LLC",130045
369,Citizens Telephone Corporation,130268
370,"Planters Rural Telephone Cooperative, Inc.",131052
371,"AlignTec, LLC",290008
372,"Stouffer Communications, Inc.",270081
373,Bledsoe Telephone Cooperative Inc.,130136
374,"Rochester Telephone Co., Inc.",131124
375,Barnes City Cooperative Telephone Company,130096
376,WAVELINC COMMUNICATIONS,310082
377,"Center Junction Telephone Company, Inc.",130223
378,Titonka Telephone Company,131354
379,"Alma Telecom, Inc.",130044
380,Shidler Telephone Company,131184
381,"Milford Communications, LLC",130839
382,Farmers Mutual Cooperative Telephone Company-Moulton,130478
383,"MFG Services, Inc.",250055
384,Farmers Mutual Telephone Company-Jessup,130483
385,"Prairieburg Telephone Company, Inc.",131066
386,Oran Mutual Telephone Company,130983
387,"Mon-Cre Telephone Cooperative, Inc.",130851
388,Radio Link Internet,260038
389,"Peoples Rural Telephone Cooperative Corporation, Inc.",131029
390,"Wharton County Electric Cooperative, Inc.",150335
391,Interstate 35 Telephone Company,130661
392,"United Electric Cooperative, Inc.",150327
393,"Sioux Valley Rural Television, Inc.",190325
394,Chariton Valley Telephone Corporation,130234
395,WideOpenWest,131480
396,Scottsboro Electric Power Board,240085
397,Glasford Telephone Company,130544
398,Mashell Inc.,130786
399,AirRunner Networks LLC,270009
400,Harris Broadband LP,260021
401,"Triangle Telephone Cooperative Assn., Inc.",131367
402,Ayersville Telephone Company,130087
403,Kingdom Telephone Company,130697
404,Ridgewood Cable,150308
405,The Home Town Network Inc.,200046
406,Ogden Telephone Company,130969
407,Long Lines,130757
408,Washington County Rural Telephone Cooperative,131451
409,Southeastern Indiana Rural Telephone Cooperative,131225
410,"TGM Pinnacle Network Solutions, LLC",270085
411,HTC Holding Co.,130624
412,U,300164
413,Marne & Elk Horn Telephone Company,130782
414,"YHTI, Inc.",190416
415,Albany Mutual Telephone Association,130031
416,Lennon Telephone Company,130734
417,SonicNet Inc.,270077
418,Blanca Telephone Company/Jade Communications LLC,130133
419,Gardonville Cooperative Telephone Association,130527
420,"Nebraska Technology & Telecommunications, Inc.",230064
421,"Lavaca Telephone Company, Inc.",130725
422,Willard Telephone Company,131487
423,"Ponderosa Communications, Inc.",131057
424,Phillips County Telephone Co.,131034
425,"Wilson Creek Communications, LLC",220075
426,Drake Enterprises Ltd.,290040
427,"Glandorf Telephone Co., Inc.",130543
428,Madison Telephone Company,130771
429,UBTA-UBET Communications,131387
430,U.S. Connect,300192
431,"Blanchard Telephone Association, Inc.",130134
432,Kalona Cooperative Telephone Company,130682
433,"Central Texas Telephone Cooperative, Inc.",130227
434,Wood County Telephone Company,150317
435,Epic Touch Company,130460
436,"TrioTel Communications, Inc.",130797
437,"Aurora Communications, Inc.",190036
438,"Haug Communications, Inc.",130594
439,"Accipiter Communications, Inc.",150200
440,Arapahoe Telephone Company,130065
441,Royal Telephone Company,131135
442,"Antelecom, Inc.",130062
443,"Perry-Spencer Rural Telephone Cooperative, Inc.",131032
444,"Penasco Valley Telephone Cooperative, Inc.",131025
445,"Westel, LLC",190404
446,"CellTex Networks, LLC",220015
447,Wisper ISP Inc.,140105
448,"H&B Communications, Inc.",130581
449,"Atlas Telephone Company, Inc.",130083
450,"Alaska Communications Systems Holdings, Inc.",130028
451,Pembroke Telephone Cooperative,131024
452,"K & M Telephone Company, Inc.",130679
453,Hemingford Cooperative Telephone Company,130602
454,Ringgold Telephone Company,131113
455,Outback Internet LLC,280042
456,"FairPoint Communications, Inc.",130471
457,Scatter Creek Ltd.,131165
458,"Progressive Voice & Data, Inc.",131074
459,"Hartington Telecommunications Co., Inc.",130592
460,MBO Corporation,130794
461,FDF Communications Co.,130492
462,"Northeast Louisiana Telephone Co., Inc.",130939
463,Rothsay Telephone Co. Inc.,131133
464,"Woodhull Communications, Inc.",131505
465,"Crossville Consolidated Communications, Inc.",130368
466,Arcadia Telephone Cooperative,130066
467,BeaDun Communications,190045
468,Woolstock Mutual Telephone Assoc.,131507
469,"Roosevelt County Rural Telephone Cooperative, Inc.",131131
470,"Inter Mountain Cable, Inc.",130655
471,Kinsman Mutual Telephone Co.,130699
472,"Lipan Telephone Company, Inc.",130747
473,"Co-Mo Electric Cooperative, Inc.",280017
474,"Flat Rock Telephone Co-Op, Inc.",130503
475,Clearnetworx LLC,310024
476,"Wamego Telephone Company, Inc.",131448
477,Yeoman Telephone Company,131520
478,"Joink, LLC",190211
479,"McNabb Communications, Inc.",130802
480,"Cumby Telephone Cooperative, Inc.",130375
481,Fail Telecommunication Corporation,140030
482,"WIFI Midwest, Inc.",240105
483,"Cordova Telephone Cooperative, Inc.",130352
484,"Acme Communications, Inc.",300005
485,"Bernard Telephone Company, Inc.",130120
486,Agate Mutual Telephone Cooperative Association,130017
487,"Oneida Telephone Exchange, Inc.",130977
488,"Arbuckle Communications, Inc.",250014
489,Cascade Communications Company,130204
490,Otelco Inc.,150296
491,"Nextera Holdings, LLC",200032
492,C-M-L Telephone Cooperative Association,130302
493,"Synergy Technology Partners, Inc.",130068
494,WinDBreak Cable,131492
495,Roggen Telephone Cooperative Company,131128
496,Lost Nation-Elwood Telephone Company,130759
497,"F&B Communications, Inc.",130473
498,Coon Creek Telephone Company,130343
499,"Hiawatha Broadband Communications, Inc.",130606
500,ZMP Holding Company,280069
501,Mutual Telephone Company (KS),150120
502,Farmers Mutual Telephone Company-Nora Springs,130484
503,"Ralls Technologies, LLC",160146
504,"Critical Hub Network, Inc.",300042
505,CableAmerica,140018
506,"Farmers Mutual Telephone Company of Stanton, Iowa",130482
507,"Pine Telephone System, Inc.",130986
508,"Kings Bay Communications, Inc.",190215
509,World Discount Telecommunications Company,190414
510,PCS-WIN,190289
511,Massena Telephone Company,130787
512,Brooklyn Mutual Telecommunications Cooperative,130169
513,Brick Skirt Holdings,310000
514,Osage Municipal Utilities,130989
515,"Martineer Wireless, Inc.",190232
516,"Dunbarton Telephone Company, Inc.",130420
517,"Darien Telephone Company, Inc.",130391
518,"Springcom, Inc.",131242
519,"NGL Connection, LLC",270064
520,Farmers Mutual Cooperative Telephone Company-Harlan,130477
521,Star Telephone Membership Corporation,131252
522,MontanaSky West LLC,270063
523,Brandenburg Communications Corp.,130150
524,"Tri County Telephone Association, Inc.",131366
525,Plant Telephone Company,131051
526,"CCS Wireless, Inc.",270018
527,Le-Ru Telephone Company,130736
528,Egyptian Telephone Cooperative Association,130444
529,Manchester-Hartland Telephone Company,130777
530,Farmers Cooperative Telephone Company-Dysart,130475
531,"Martell Enterprises, Inc.",130784
532,Terril Telephone Cooperative,131321
533,City of Hawarden,190085
534,"JTM Broadband, LLC",300073
535,"NTT DoCoMo, Inc.",130999
536,"Farmers Telecommunications Cooperative, Inc. (AL)",260000
537,UTMA,131407
538,"Lincoln Communications, Inc.",130743
539,Onslow Cooperative Telephone Association,130979
540,Metronet Holdings LLC,131081
541,Glenwood Telephone Membership Corp.,130546
542,"Hospers Telephone Exchange, Inc.",130621
543,St. John Telephone Company,131247
544,Conway Corporation,130340
545,Stoneham Cooperative Telephone Corporation,131265
546,"Tonica Technologies, Inc.",131358
547,Stratford Mutual Telephone Company,131267
548,Farmers Telephone Company-Essex,130489
549,Griswold Cooperative Telephone Company,130574
550,"Etex Telephone Cooperative, Inc.",130464
551,Hawkeye Telephone Company,130596
552,Hubbard Cooperative Telephone Association,130626
553,IAMO Telephone Company,130631
554,Keystone Farmers Cooperative Telephone Company,130693
555,Readlyn Telephone Company,131096
556,"Olin Telephone Company, Inc.",130974
557,Modern Cooperative Telephone Company,130849
558,Reynolds Telephone Company,131106
559,Walnut Telephone Company,131447
560,North English Cooperative Telephone Company,130930
561,"Alliance Connect, LLC",280005
562,"Leonore Mutual Telephone Co., Inc.",130735
563,Viola Home Telephone Company,131431
564,"Rebus Communications, LLC",230036
565,Monmouth Independence Network,170066
566,Traer Municipal Utilities,210080
567,Highland Communication Services,240044
568,Windstream Corporation,131413
569,Diller Telephone Company,150250
570,Vogtmann Engineering Inc.,220071
571,"Eastern Slope Rural Telephone Association, Inc.",130439
572,"Trumansburg Telephone Co., Inc./Ontario Telephone Co., Inc.",131378
573,"Irvine Community Television, Inc.",130668
574,Kasson & Mantorville Telephone Company,130686
575,"Magazine Telephone Company, Inc.",130772
576,"Ligonier Telephone Co., Inc.",130742
577,Crown Point Telephone Corporation,130369
578,VS Enterprises,240103
579,"United Telephone Association, Inc.",131395
580,Glenwood Telephone Company,130545
581,S&T Telephone Cooperative Association,131145
582,"Alliance Communications Cooperative, Inc.",130040
583,Harbor Communications,130587
584,Chester Telephone Company,130242
585,City of Glenwood Springs,190084
586,Randolph Telephone Membership Corporation,131089
587,Siskiyou Telephone Company,131195
588,Delcambre Telephone Co.,130398
589,Siouxland WISP,190326
590,"Yelcot Holding Group, Inc.",131518
591,Wasatch Broadband,300198
592,"Seneca Telephone Company, Inc.",131177
593,"Community Antenna Service, Inc.",130322
594,CBC Broadband Holdings LLC,130231
595,Monroe Telephone Company,130854
596,The Ottoville Mutual Telephone Company,131342
597,City of Lebanon Utilities,250027
598,"Access Cable Television, Inc.",140001
599,"Arvig Enterprises, Inc.",130074
600,Killduff Telephone Company,130695
601,AT&T Inc.,130077
602,"Schwartz Ventures, Inc.",130769
603,Hancock Rural Telephone Corporation,130586
604,Ft. Jennings Telephone Company,140036
605,Lynnville Telephone Company,130766
606,"JCMM Ventures, LLC",210046
607,Consolidated Telephone Company,130338
608,netBlazr Inc.,240066
609,Reasnor Telephone Company,140076
610,Stelle Telephone Company,131261
611,"Board of Water, Light & Sinking Fund Commissioners",190058
612,Searsboro Telephone Company,131172
613,Bloomingdale Home Telephone Company,130139
614,"Hayneville Holding Company, Inc.",130597
615,"CSC Holdings, LLC",130370
616,Citizens Mutual Telephone Cooperative,130259
617,Mulberry Cooperative Telephone Co. Inc.,130875
618,"Churchill County, State of Nevada",130252
619,Zulu,310088
620,"3 Rivers Telephone Cooperative, Inc.",130002
621,JB-Nets,190208
622,"PCC Holdings, Inc.",131016
623,"Cequel Communications, LLC",131269
624,Castleberry Communications,130210
625,Farmers Mutual Telephone Company (MN & SD),130494
626,"Alhambra-Grantfork Communications, Inc.",130036
627,Ellerbe Telephone Company,130448
628,Blue Ridge Mountain Electric Membership Corporation,310013
629,Pioneer Telephone Cooperative (OR),131046
630,Clarksville Mutual Telephone Company,130287
631,Atkins Telephone Company,170014
632,"Cable Services, Inc.",130184
633,"Big River Telephone, LLC",130124
634,"Texas Cellnet, Inc",300159
635,"Native American Telecom -- Pine Ridge, LLC",280037
636,"New Windsor Communications, Inc.",130908
637,"Pioneer Telephone Association, Inc.",131044
638,"Native American Telecom, LLC",250057
639,"DLS Computer Services, Inc.",200065
640,"New Windsor Comunications, Inc.",130908
641,"Bloomingdale Telephone Company, Inc.",130140
642,"Internet America, Inc.",250048
643,"Albion Telephone Company, Inc.",130032
644,"Mud Lake Telephone Cooperative Assn., Inc.",130874
645,"SEMO Communications, Inc.",131176
646,Clear Creek Mutual Telephone Company,130289
647,"Midwest Telecom of America, Inc.",130834
648,"R. M. Greene, Inc.",190308
649,"Plantation Cablevision, Inc.",150299
650,USConnect Holdings,300192
651,Clear Lake Independent Telephone Company,130290
652,"Texhoma Wireless, LLC",300160
653,"Wheatland Electric Cooperative, Inc.",190407
654,"Southwest Texas Telcom, Inc.",131234
655,"Bluebird Wireless Broadband Services, LLC",190053
656,Farmers Telephone Company-Batavia,130488
657,"Cablevision of Marion County, LLC",160110
658,"American Wireless, Inc.",240004
659,"Allvoitel, Inc.",310005
660,Vyve Broadband,150206
661,The Moundridge Telephone Company,130860
662,Johnson Telephone Company,130678
663,Evertek Enterprises,131394
664,Myvocom,300096
665,Mark Twain Rural Telephone Company,130781
666,City of Tacoma,280015
667,Redbird Internet,300124
668,TC LLC,270084
669,Bayou Cable Inc.,220008
670,Miles Wireless,230028
671,"Armstrong Holdings, Inc.",130071
672,Town of Pineville,131042
673,"Citizens-Vermont Acquisition Company, Inc.",130269
674,Hamilton County Telephone Co-Op,130584
675,Garden Valley Telephone Company,130526
676,Union River Telephone Company,131388
677,"Star Telephone Company, Inc.",131251
678,West Liberty Telephone Company,131463
679,EvenLink LLC,150261
680,Nunn Telephone Company,130963
681,Clinton County Telephone Company,130300
682,"Lake Region Electric Cooperative, Inc.",290061
683,"Rev.Net Technologies, Inc.",131105
684,"Spruce Knob Seneca Rocks Telephone, Inc.",131245
685,Casey Mutual Telephone Company,130207
686,"Litestream Holdings, LLC",170064
687,Polar Communication Mutual Aid Corporation,131056
688,"Port Networks, Inc.",310055
689,"IdeaTek Systems, Inc.",190410
690,America Internet & Communications,190025
691,Martelle Cooperative Telephone Association,130785
692,"Farmers Telephone Cooperative, Inc. (SC)",130490
693,"Cass Communications Management, Inc.",130208
694,Bascom Mutual Telephone Company,130098
695,Copper Mountain Consolidated Metro District,150244
696,Gunnison Telephone Company,130580
697,"Foothills Rural Telephone Cooperative Corporation, Inc.",130507
698,Waldron Communication Company,130511
699,Hershey Cooperative Telephone Company,130605
700,"Mobilcom Pittsburg, Inc.",190248
701,"Indigo Wireless, Inc.",240047
702,"Midstate Communications, Inc. (SD)",130828
703,Town of Concord MA,310092
704,Bryan Municipal Light & Water Utilities,240012
705,Radcliffe Telephone Company,131085
706,"Nova Cablevision, Inc.",130955
707,Master Mind Productions Inc.,130790
708,Highland Telephone Cooperative (VA),130610
709,Chapin Communications Corporation,130233
710,Hot Springs Telephone Company,130622
711,"New Lisbon Telephone Company, Inc.",130904
712,"Hickory Utility Services, Inc.",130609
713,Privatel Inc.,300119
714,"Rainbow Telecommunications Association, Inc.",131087
715,"Ganado Telephone Company, Inc.",130524
